Idade,Renda,Tempo_Cliente,Interacoes,Compra
55,3816,2,27,0
61,1326,2,40,0
44,12758,5,42,1
26,1882,3,4,0
64,2671,1,8,1
33,6002,2,7,1
29,9929,4,42,0
48,3174,7,17,0
41,6235,1,39,1
31,1923,5,12,0
62,5266,2,42,0
42,9112,8,5,1
51,14801,2,15,1
20,13674,4,17,1
41,3824,6,41,0
59,6107,9,16,0
26,7869,4,1,1
43,6720,4,17,0
37,10345,7,10,0
57,3070,1,1,1
27,8346,5,1,0
36,7544,5,17,1
20,5600,1,40,0
41,1920,6,21,0
22,7091,9,15,1
20,4482,7,26,0
44,14843,2,16,1
33,7472,4,41,0
66,2443,8,16,1
32,13699,1,5,1
52,3801,6,32,0
29,2775,3,12,0
58,9220,3,5,0
61,3292,1,25,0
43,4703,8,18,0
64,1825,5,37,1
51,8711,1,18,1
40,4741,5,43,0
48,14371,5,25,1
67,9330,9,21,0
37,5452,3,10,1
29,3259,9,21,0
40,2162,8,31,0
21,4439,2,6,0
40,3533,9,21,0
65,6612,5,5,1
65,10551,8,14,1
18,8930,8,37,0
42,14922,4,40,1
19,3225,1,17,1
47,11752,9,34,0
20,4672,6,33,0
38,3160,2,44,0
42,9474,4,28,1
37,10331,5,42,0
66,2797,6,4,0
69,13328,5,23,1
39,12171,9,31,0
38,10382,2,29,1
50,2244,3,4,0
69,8069,3,43,1
55,8893,3,33,1
32,5408,6,49,0
63,2930,8,41,0
69,3518,5,17,0
32,14442,6,35,0
63,1047,1,20,1
42,1133,3,21,1
38,6675,4,38,0
41,12238,7,20,1
22,3364,5,34,0
23,4509,1,4,1
66,12698,3,32,1
60,11325,2,6,0
65,14359,6,43,0
61,8153,5,23,1
64,5094,3,47,0
40,3537,2,38,0
21,8996,1,7,0
44,6984,2,14,1
35,3471,5,5,1
38,3434,5,4,1
45,6021,9,22,0
52,5335,6,47,1
39,4522,3,19,0
57,3305,3,11,0
40,13331,3,41,0
20,6287,8,43,0
57,11002,9,20,1
67,14502,3,21,1
27,1663,1,24,0
42,6681,8,11,0
69,8443,2,1,1
66,6944,7,29,1
25,12246,7,6,0
28,8774,9,36,1
22,5849,8,17,0
62,5200,9,17,1
54,8097,1,27,1
62,6022,3,47,0
55,4492,4,33,0
46,6468,3,7,0
22,8939,8,18,1
26,10145,7,5,1
65,2673,5,44,0
19,2342,5,6,0
18,12683,4,19,1
57,11934,5,23,1
68,11296,5,28,1
47,9431,4,27,1
28,7570,5,4,1
